PMID|PaperTitle|Authors|PublicationDate|Abstract|Keywords
36149820|Prevention of device-related infections in patients with cancer: Current practice and future horizons.|Viola, George M; Szvalb, Ariel D; Malek, Alexandre E; Chaftari, Anne-Marie; Hachem, Ray; Raad, Issam I; |2022 09 23|Over the past several years, multifaceted advances in the management of cancer have led to a significant improvement in survival rates. Throughout patients' oncological journeys, they will likely receive one or more implantable devices for the administration of fluids and medications as well as management of various comorbidities and complications related to cancer therapy. Infections associated with these devices are frequent and complex, often necessitating device removal, increasing health care costs, negatively affecting quality of life, and complicating oncological care, usually leading to delays in further life-saving cancer therapy. Herein, the authors comprehensively review multiple evidence-based recommendations along with best practices, expert opinions, and novel approaches for the prevention of diverse device-related infections. The authors present many general principles for the prevention of these infections followed by specific device-related recommendations in a systematic manner. The continuous involvement and meaningful cooperation between regulatory entities, industry, specialty medical societies, hospitals, and infection control-targeted interventions, along with primary care and consulting health care providers, are all vital for the sustained reduction in the incidence of these preventable infections.|antimicrobials; cancer; device; infection; oncology; prevention; 
36056413|Opening the Conversation: study protocol for a Phase III trial to evaluate a couple-based intervention to reduce reproductive and sexual distress among young adult breast and gynecologic cancer survivor couples.|Gorman, Jessica R; Lyons, Karen S; Harvey, S Marie; Acquati, Chiara; Salsman, John M; Kashy, Deborah A; Drizin, Julia H; Smith, Ellie; Flexner, Lisa M; Hayes-Lattin, Brandon; Reese, Jennifer B; |2022 09 02|Reproductive and sexual health (RSH) concerns are common and distressing for young adults diagnosed with breast and gynecologic cancer and their partners. This study evaluates the efficacy of a virtual couple-based intervention called Opening the Conversation (OC). The OC intervention is grounded in theory and evidence-based practice and was adapted to improve coping and communication specifically in relation to RSH concerns after cancer.|Breast cancer; Gynecologic cancer; Randomized controlled trial; Reproductive health; Sexual health; Young adult; 
36054686|An evidence-based practice guideline of the National Society of Genetic Counselors for telehealth genetic counseling.|Green, Sarah; Hartzfeld, Deborah; Terry, Alissa Bovee; Fissell, Kristi; Friedman, Sue; Paolino, Nicholas; Principe, Kate; Sandbach, John; Trzupek, Karmen; Winheld, Stephanie; Malinowski, Jennifer; |2022 08 30|There are currently no practice guidelines available for genetic counseling using telehealth modalities. This evidence-based practice guideline was developed in response to increasing use of alternative service delivery models for genetic counseling, specifically telephone and video-based genetic counseling (telehealth genetic counseling or THGC). A recent systematic evidence review (SER) compared outcomes of THGC with in-person genetic counseling and found that for the majority of studied outcomes, THGC was a non-inferior and comparable service delivery model. The SER results were used to develop this guideline. The current and anticipated future use of THGC, including the influence of the COVID-19 pandemic, provides the context for this guideline. Recommendation: The Telehealth Practice Guideline author workgroup conditionally recommends telehealth genetic counseling, either via telephone or video, as a delivery method for genetic counseling. Depending on factors unique to individual healthcare systems and provider and patient populations, THGC may be the only service delivery model available or may be utilized in addition to other service delivery models including in-person genetic counseling. The evidence shows large desirable effects, minor undesirable effects, and increased equity for patients when THGC is available. THGC may reduce or remove existing barriers to patient access to genetic counseling, such as medical conditions and/or disabilities that may affect a patient's ability to travel, inflexible work or school schedules, and lack of reliable transportation, finances, or dependent care. THGC is likely acceptable to key groups impacted by its use and is feasible to implement. Certain patient populations may require additional resources or encounter more barriers in using telemedicine services in general. For these populations, THGC can still be a valuable option if solutions are available.|genetic counseling; guideline; service delivery model; telegenetics; telehealth; telemedicine; virtual care; 
35985982|Stereotactic Ablative Radiation for Systemic Therapy-naïve Oligometastatic Kidney Cancer.|Hannan, Raquibul; Christensen, Michael; Christie, Alana; Garant, Aurelie; Pedrosa, Ivan; Robles, Liliana; Mannala, Samantha; Wang, Chiachien; Hammers, Hans; Arafat, Waddah; Courtney, Kevin; Bowman, Isaac A; Sher, David; Ahn, Chul; Cole, Suzanne; Choy, Hak; Timmerman, Robert; Brugarolas, James; |2022 08 16|Evidence-based guidelines for the management of systemic therapy-naïve oligometastatic renal cell carcinoma (RCC) are lacking.|Oligometastasis; Renal cell carcinoma; Stereotactic ablative radiotherapy; Stereotactic body radiation therapy; Stereotactic radiation; 
35966142|Adaptation and Dissemination of a National Cancer Institute HPV Vaccine Evidence-Based Cancer Control Program to the Social Media Messaging Environment.|Hopfer, Suellen; Phillips, Kalani Kieu-Diem; Weinzierl, Maxwell; Vasquez, Hannah E; Alkhatib, Sarah; Harabagiu, Sanda M; |2022 07 27|Social media offers a unique opportunity to widely disseminate HPV vaccine messaging to reach youth and parents, given the information channel has become mainstream with 330 million monthly users in the United States and 4.2 billion users worldwide. Yet, a gap remains on how to adapt evidence-based vaccine interventions for the in vivo competitive social media messaging environment and what strategies to employ to make vaccine messages go viral. Push-pull and RE-AIM dissemination frameworks guided our adaptation of a National Cancer Institute video-based HPV vaccine cancer control program, the HPV Vaccine Decision Narratives, for the social media environment. We also aimed to understand how dissemination might differ across three platforms, namely Instagram, TikTok, and Twitter, to increase reach and engagement. Centering theory and a question-answer framework guided the adaptation process of segmenting vaccine decision story videos into shorter coherent segments for social media. Twelve strategies were implemented over 4 months to build a following and disseminate the intervention. The evaluation showed that all platforms increased following, but Instagram and TikTok outperformed Twitter on impressions, followers, engagement, and reach metrics. Although TikTok increased reach the most (unique accounts that viewed content), Instagram increased followers, engagement, and impressions the most. For Instagram, the top performer, six of 12 strategies contributed to increasing reach, including the use of videos, more than 11 hashtags, COVID-19 hashtags, mentions, and follow-for-follow strategies. This observational social media study identified dissemination strategies that significantly increased the reach of vaccine messages in a real-world competitive social media messaging environment. Engagement presented greater challenges. Results inform the planning and adaptation considerations necessary for transforming public health HPV vaccine interventions for social media environments, with unique considerations depending on the platform.|HPV; HPV vaccine; engagement; implementation adaptation; social media; vaccine interventions; 
35963957|Impact of sex on outcomes after surgery for non-muscle-invasive and muscle-invasive bladder urothelial carcinoma: a systematic review and meta-analysis.|Mori, Keiichiro; Yanagisawa, Takafumi; Katayama, Satoshi; Laukhtina, Ekaterina; Pradere, Benjamin; Mostafaei, Hadi; Quhal, Fahad; Rajwa, Pawel; Moschini, Marco; Soria, Francesco; D'andrea, David; Abufaraj, Mohammad; Albisinni, Simone; Krajewski, Wojciech; Fukuokaya, Wataru; Miki, Jun; Kimura, Takahiro; Egawa, Shin; Teoh, Jeremy Yc; Shariat, Shahrokh F; Shariat, Shahrokh F; |2022 08 13|To assess the prognostic value of sex for non-muscle-invasive/muscle-invasive bladder urothelial carcinoma (NMIBC/MIBC) treated with radical surgery.|Meta-analysis; Muscle-invasive bladder urothelial carcinoma; Non-muscle-invasive bladder urothelial carcinoma; Sex; 
35955001|Tobacco Screening Practices and Perceived Barriers to Offering Tobacco Cessation Services among Texas Health Care Centers Providing Behavioral Health Treatment.|Siddiqi, Ammar D; Britton, Maggie; Chen, Tzuan A; Carter, Brian J; Wang, Carol; Martinez Leal, Isabel; Rogova, Anastasia; Kyburz, Bryce; Williams, Teresa; Patel, Mayuri; Reitzel, Lorraine R; |2022 08 05|Tobacco use, and thus tobacco-related morbidity, is elevated amongst patients with behavioral health treatment needs. Consequently, it is important that centers providing health care to this group mandate providers' use of tobacco screenings to inform the need for tobacco use disorder intervention. This study examined the prevalence of mandated tobacco screenings in 80 centers providing health care to Texans with behavioral health needs, examined key factors that could enhance screening conduct, and delineated providers' perceived barriers to tobacco use intervention provision. The results indicated that 80% of surveyed centers mandated tobacco use screenings; those that did were significantly more likely than those that did not to have a hard stop for tobacco use status in health records and were marginally more likely to make training on tobacco screening available to providers. The most widespread barriers to tobacco use disorder care provision were relative perceived importance of competing diagnoses, lack of community resources to refer patients, perceived lack of time, lack of provider knowledge or confidence, and belief that patients do not comply with cessation treatment. Overall, the results suggest that there are opportunities for centers providing care to Texans with behavioral health needs to bolster their tobacco screening and intervention capacity to better address tobacco-related health disparities in this group. Health care centers can support their providers to intervene in tobacco use by mandating screenings, streamlining clinical workflows with hard stops in patient records, and educating providers about the importance of treating tobacco with brief evidence-based intervention strategies while providing accurate information about patients' interest in quitting and providers' potential impacts on a successful quit attempt.|Texas; behavioral populations; cessation care; facilitators; health disparities; mental illness; perceived barriers; screening practices; substance abuse; tobacco screening; 
35929012|Dissemination of an evidence-based behavioral intervention to alleviate distress in caregivers of children recently diagnosed with cancer: Bright IDEAS.|Voll, Megan; Fairclough, Diane L; Morrato, Elaine H; McNeal, Demetria M; Embry, Leanne; Pelletier, Wendy; Noll, Robert B; Sahler, Olle Jane Z; |2022 08 04|Four multisite randomized clinical trials of > 1400 caregivers of children newly diagnosed with cancer showed that the Bright IDEAS (BI) paradigm of problem-solving skills training is an acceptable and efficacious approach to alleviating the high levels of distress they experience. To facilitate providing evidence-based caregiver support as recommended in the pediatric oncology standards of care, the project described here was designed to disseminate BI to 200 psychosocial professionals.|caregivers; childhood cancer; distress; evidence-based; intervention; problem-solving skills; psychosocial; 
35779590|Effects of technology-based contraceptive decision aids: a systematic review and meta-analysis.|Goueth, Rose C; Maki, Kristin G; Babatunde, Ayo; Eden, Karen B; Darney, Blair G; |2022 06 30|This study aimed to conduct a systematic review and meta-analysis of the effects of technology-based decision aids on contraceptive use, continuation, and patient-reported and decision-making outcomes.|clinical decision-making; contraceptive use; decision support techniques; digital health; patient-centered care; patient-reported outcome measures; reproductive health services; shared decision-making; 
35776489|Insomnia as an Unmet Need in Patients With Chronic Hematological Cancer: Protocol for a Randomized Controlled Trial Evaluating a Consumer-Based Meditation App for Treatment of Sleep Disturbance.|Huberty, Jennifer; Bhuiyan, Nishat; Eckert, Ryan; Larkey, Linda; Petrov, Megan; Todd, Michael; Mesa, Ruben; |2022 07 01|To address the need for long-term, accessible, nonpharmacologic interventions targeting sleep in patients with chronic hematological cancer, we propose the first randomized controlled trial to determine the effects of a consumer-based mobile meditation app, Calm, on sleep disturbance in this population.|hematological cancers; mHealth; meditation; mobile health; mobile phone; sleep disturbance; 
35766902|Envisioning clinical trials as complex interventions.|Stensland, Kristian D; Damschroder, Laura J; Sales, Anne E; Schott, Anne F; Skolarus, Ted A; |2022 06 29|Clinical trials are critical components of modern health care and infrastructure. Trials benefit society through scientific advancement and individual patients through trial participation. In fact, billions of dollars are spent annually in support of these benefits. Despite the massive investments, clinical trials often fail to accomplish their primary aims and trial enrollment rates remain low. Prior efforts to improve trial conduct and enrollment have had limited success, perhaps due to oversimplification of the complex, multilevel nature of trials. For these reasons, the authors propose applying implementation science to the clinical trials context. In this commentary, the authors posit clinical trials as complex, multilevel evidence-based interventions with significant societal and individual benefits yet with persistent gaps in implementation. An application of implementation science concepts to the clinical trials context as means to build common vocabulary and establish a platform for applying implementation science and practice to improve clinical trial conduct is introduced. Applying implementation science to the clinical trials context can augment improvement efforts and build capacity for better and more efficient evidence-based care for all patients and trial stakeholders throughout the clinical trials enterprise.|clinical trials; complex interventions; health services research; implementation science; quality improvement; 
35715320|Diagnostic Performance of Prostate-specific Membrane Antigen Positron Emission Tomography-targeted biopsy for Detection of Clinically Significant Prostate Cancer: A Systematic Review and Meta-analysis.|Kawada, Tatsushi; Yanagisawa, Takafumi; Rajwa, Pawel; Sari Motlagh, Reza; Mostafaei, Hadi; Quhal, Fahad; Laukhtina, Ekaterina; Aydh, Abdulmajeed; König, Frederik; Pallauf, Maximilian; Pradere, Benjamin; Ceci, Francesco; Baltzer, Pascal A T; Hacker, Marcus; Rasul, Sazan; Karakiewicz, Pierre I; Araki, Motoo; Nasu, Yasutomo; Shariat, Shahrokh F; |2022 06 15|Prostate-specific membrane antigen positron emission tomography (PSMA-PET) has gained acceptance as a staging tool for prostate cancer (PCa). Recent reports suggest an association between PSMA PET and detection of clinically significant PCa (csPCa) on prostate biopsy.|Clinically significant; Positron emission tomography; Prostate cancer; Prostate-specific membrane antigen; Targeted biopsy; 
35664502|A biobehavioral intervention to enhance recovery following hematopoietic cell transplantation: Protocol for a feasibility and acceptability randomized control trial.|Kirvin-Quamme, Andrew; Rumble, Meredith E; Cadmus-Bertram, Lisa; Juckett, Mark B; Rathouz, Paul J; Schell, Gwynneth; Callander, Natalie S; Hematti, Peiman; Costanzo, Erin S; |2022 05 28|Insomnia, fatigue, and depression are among the most persistent and distressing concerns for hematologic cancer patients recovering from hematopoietic cell transplantation (HCT). This study will evaluate a novel behavioral intervention, Restoring Sleep and Energy after Transplant (ReSET), designed to alleviate insomnia, fatigue, and depression by improving rest-activity patterns. Evidence-based behavioral strategies to improve nighttime sleep and increase non-sedentary daytime activity will be combined to optimize 24-h rest-activity patterns.|Depression; Fatigue; Hematopoietic cell transplantation (HCT); Insomnia; Leukemia; Lymphoma; Multiple myeloma; 
35654619|Patient perspectives on long-term outcomes in rheumatoid arthritis. A qualitative study from the OMERACT patient outcomes in longitudinal studies working group.|Negrón, José B; Lopez-Olivo, Maria A; Carmona, Loreto; Christensen, Robin; Ingegnoli, Francesca; Zamora, Natalia V; Gamez-Nava, Jorge I; Gonzalez-Lopez, Laura; Strand, Vibeke; Goel, Niti; Westrich-Robertson, Tiffany; Suarez-Almazor, Maria E; |2022 05 19|To identify patient-centered domains with long-term relevance to people with rheumatoid arthritis (RA).|OMERACT; Patient-centered outcomes; Qualitative research; Quality of life; Rheumatoid arthritis; 
35635746|An Integrated mHealth App for Smoking Cessation in Black Smokers With Anxiety: Protocol for a Randomized Controlled Trial.|Businelle, Michael S; Garey, Lorra; Gallagher, Matthew W; Hébert, Emily T; Vujanovic, Anka; Alexander, Adam; Kezbers, Krista; Matoska, Cameron; Robison, Jillian; Montgomery, Audrey; Zvolensky, Michael J; |2022 05 30|Black smokers have greater difficulty in quitting and higher rates of smoking-related diseases and disabilities than the general population. The smoking disparities experienced by this group are, in part, a consequence of multiple chronic life stressors (eg, racial discrimination) that engender increased exposure to interoceptive stress symptoms (eg, anxiety), which can ultimately lead to smoking as a means of immediate emotion regulation.|African American; Black; anxiety sensitivity; just-in-time adaptive intervention; mHealth; mobile phone; smoking cessation; treatment; 
35596017|Urethrectomy at the time of radical cystectomy for non-metastatic urothelial carcinoma of the bladder: a collaborative multicenter study.|Laukhtina, Ekaterina; Boehm, Axelle; Peyronnet, Benoit; Bravi, Carlo Andrea; Batista Da Costa, Jose; Soria, Francesco; D'Andrea, David; Rajwa, Pawel; Quhal, Fahad; Yanagisawa, Takafumi; König, Frederik; Mostafaei, Hadi; Enikeev, Dmitry; Ingels, Alexandre; Verhoest, Gregory; D'Hondt, Frederiek; Mottrie, Alexandre; Joniau, Steven; Van Poppel, Hendrik; de la Taille, Alexandre; Bensalah, Karim; Bruyère, Franck; Shariat, Shahrokh F; Pradere, Benjamin; |2022 05 20|The optimal management of the urethra in patients planned for radical cystectomy (RC) remains unclear. We sought to evaluate the impact of urethrectomy on perioperative and oncological outcomes in patients treated with RC for non-metastatic urothelial carcinoma of the bladder (UCB).|Bladder cancer; Radical cystectomy; Urethral recurrence; Urethrectomy; 
35580715|Alcohol Consumption and Cardiovascular Health.|Krittanawong, Chayakrit; Isath, Ameesh; Rosenson, Robert S; Khawaja, Muzamil; Wang, Zhen; Fogg, Sonya E; Virani, Salim S; Qi, Lu; Cao, Yin; Long, Michelle T; Tangney, Christy C; Lavie, Carl J; |2022 05 14|Studies evaluating alcohol consumption and cardiovascular diseases have shown inconsistent results.|Alcohol consumption; Beer consumption; Cardiovascular disease; Liquor consumption; Wine consumption; 
35579774|Results of the George Washington University cancer center's comprehensive cancer control cancer communication mentorship program and implications for future practice.|Duong, Dao; Agraviador, Danielle; Cariou, Charlene; George, Maria; Karanja, Miriam; Kashima, Kanako; Kerch, Sarah; Khalaf, Mohammad; Love, Brad; McCauley-Hixenbaugh, Lauren; Phillips, Serena; Ramirez, Susana; Sy, Angela; Tutii, Irish; Van Kirk Villalobos, Aubrey; Pratt-Chapman, Mandi L; |2022 05 17|"The Comprehensive Cancer Control Cancer Communication Mentorship Program (""Mentorship Program"") was created by the George Washington University Cancer Center (GWCC) to provide technical assistance (TA) in implementing evidence-based cancer screening communication interventions and support networking for comprehensive cancer control (CCC) professionals. The Mentorship Program matched entry-to mid-level CCC professionals with health communication and/or CCC experts and offered monthly web-based discussions with academic researchers and practitioners who shared their knowledge and provided applied learning opportunities throughout mentees' project planning, implementation and evaluation. The program objective was for mentees to improve health communication skills and apply evidence-based knowledge to reduce the burden of cancer."|Cancer control; Cancer risk reduction; Cancer screening; Mentorship; 
35577469|Telehealth cancer-related fatigue clinic model for cancer survivors: a pilot randomised controlled trial protocol (the T-CRF trial).|Ladwa, Rahul; Pinkham, Elizabeth P; Teleni, Laisa; Hanley, Brigid; Lock, Gemma; Nixon, Jodie; Agbejule, Oluwaseyifunmi Andi; Crawford-Williams, Fiona; Jones, Lee; Pinkham, Mark B; Turner, Jane; Yates, Patsy; McPhail, Steven M; Aitken, Joanne F; Escalante, Carmen P; Hart, Nicolas H; Chan, Raymond J; |2022 05 16|Cancer-related fatigue (CRF) is one of the most common and debilitating adverse effects of cancer and its treatment reported by cancer survivors. Physical activity, psychological interventions and management of concurrent symptoms have been shown to be effective in alleviating CRF. This pilot randomised controlled trial (RCT) will determine the feasibility of a telehealth CRF clinic intervention (T-CRF) to implement evidence-based strategies and assess the impact of the intervention on CRF and other clinical factors in comparison to usual care.|COMPLEMENTARY MEDICINE; ONCOLOGY; Telemedicine; 
35562311|Differential efficacy of ablation therapy versus partial nephrectomy between clinical T1a and T1b renal tumors: A systematic review and meta-analysis.|Yanagisawa, Takafumi; Mori, Keiichiro; Kawada, Tatsushi; Motlagh, Reza Sari; Mostafaei, Hadi; Quhal, Fahad; Laukhtina, Ekaterina; Rajwa, Pawel; Aydh, Abdulmajeed; König, Frederik; Pallauf, Maximilian; Pradere, Benjamin; Miki, Jun; Kimura, Takahiro; Egawa, Shin; Shariat, Shahrokh F; |2022 05 11|To assess the differential clinical outcomes of patients treated with partial nephrectomy (PN) vs. those treated with ablation therapy (AT) such as radiofrequency ablation, cryoablation and microwave ablation for cT1b compared to cT1a renal tumors.|Ablation therapy; Clinical T1a; Clinical T1b; Partial nephrectomy; Renal cell carcinoma; 
35421949|Addressing chronic pain with Focused Acceptance and Commitment Therapy in integrated primary care: findings from a mixed methods pilot randomized controlled trial.|Kanzler, Kathryn E; Robinson, Patricia J; McGeary, Donald D; Mintz, Jim; Kilpela, Lisa Smith; Finley, Erin P; McGeary, Cindy; Lopez, Eliot J; Velligan, Dawn; Munante, Mariana; Tsevat, Joel; Houston, Brittany; Mathias, Charles W; Potter, Jennifer Sharpe; Pugh, Jacqueline; |2022 04 14|Over 100 million Americans have chronic pain and most obtain their treatment in primary care clinics. However, evidence-based behavioral treatments targeting pain-related disability are not typically provided in these settings. Therefore, this study sought to: 1) evaluate implementation of a brief evidence-based treatment, Focused Acceptance and Commitment Therapy (FACT-CP), delivered by an integrated behavioral health consultant (BHC) in primary care; and 2) preliminarily explore primary (self-reported physical disability) and secondary treatment outcomes (chronic pain acceptance and engagement in valued activities).|Acceptance and commitment therapy; Behavioral health consultation; Chronic pain; General practice; Mixed methods; Primary care behavioral health; Primary health care; 
35368130|Prognostic impact of insulin-like growth factor-I and its binding proteins, insulin-like growth factor-I binding protein-2 and -3, on adverse histopathological features and survival outcomes after radical cystectomy.|Sari Motlagh, Reza; Schuettfort, Victor M; Mori, Keiichiro; Katayama, Satoshi; Rajwa, Pawel; Aydh, Abdulmajeed; Grossmann, Nico C; Laukhtina, Ekaterina; Pradere, Benjamin; Mostafai, Hadi; Quhal, Fahad; Abufaraj, Mohammad; Lee, Richard; Karakiewicz, Pierre I; Lotan, Yair; Comprate, Eva; Moschini, Marco; Gontero, Paolo; Shariat, Shahrokh F; |2022 04 02|Insulin-like growth factor-I and its binding proteins are involved in cancer development, progression, and metastasis. In urothelial carcinoma, the impact of this pathway is still poorly investigated. The present large cohort study aimed to evaluate the association of preoperative circulating levels of insulin-like growth factor-I, insulin-like growth factor-I binding protein-2 and -3 on outcomes after radical cystectomy.|IGF-I; binding proteins; bladder cancer; insulin-like growth factor; radical cystectomy; urothelial carcinoma; 
35326482|On the Cutting Edge of Oral Cancer Prevention: Finding Risk-Predictive Markers in Precancerous Lesions by Longitudinal Studies.|Crawford, Madeleine; Johnson, Eliza H; Liu, Kelly Y P; Poh, Catherine; Tsai, Robert Y L; |2022 03 18|Early identification and management of precancerous lesions at high risk of developing cancers is the most effective and economical way to reduce the incidence, mortality, and morbidity of cancers as well as minimizing treatment-related complications, including pain, impaired functions, and disfiguration. Reliable cancer-risk-predictive markers play an important role in enabling evidence-based decision making as well as providing mechanistic insight into the malignant conversion of precancerous lesions. The focus of this article is to review updates on markers that may predict the risk of oral premalignant lesions (OPLs) in developing into oral squamous cell carcinomas (OSCCs), which can logically be discovered only by prospective or retrospective longitudinal studies that analyze pre-progression OPL samples with long-term follow-up outcomes. These risk-predictive markers are different from those that prognosticate the survival outcome of cancers after they have been diagnosed and treated, or those that differentiate between different lesion types and stages. Up-to-date knowledge on cancer-risk-predictive markers discovered by longitudinally followed studies will be reviewed. The goal of this endeavor is to use this information as a starting point to address some key challenges limiting our progress in this area in the hope of achieving effective translation of research discoveries into new clinical interventions.|DNA methylation; epigenetic; genetic mutation; long-term follow-up; risk assessment; translational study; 
35297497|Limited English Proficiency and Screening for Cervical, Breast, and Colorectal Cancers among Asian American Adults.|Xie, Zhigang; Chen, Guanming; Suk, Ryan; Dixon, Brittney; Jo, Ara; Hong, Young-Rock; |2022 03 16|Literature shows that limited English proficiency (LEP) influences individual healthcare-seeking behaviors. The Asian population is the fastest-growing racial/ethnic group in the US, and approximately 50% of foreign-born Asians are estimated to live with LEP.|Asian Americans; Cancer screening; Limited English proficiency; Patient-provider language concordance; 
35274388|American Head and Neck Society Endocrine Surgery Section and International Thyroid Oncology Group consensus statement on mutational testing in thyroid cancer: Defining advanced thyroid cancer and its targeted treatment.|Shonka, David C; Ho, Alan; Chintakuntlawar, Ashish V; Geiger, Jessica L; Park, Jong C; Seetharamu, Nagashree; Jasim, Sina; Abdelhamid Ahmed, Amr H; Bible, Keith C; Brose, Marcia S; Cabanillas, Maria E; Dabekaussen, Kirsten; Davies, Louise; Dias-Santagata, Dora; Fagin, James A; Faquin, William C; Ghossein, Ronald A; Gopal, Raj K; Miyauchi, Akira; Nikiforov, Yuri E; Ringel, Matthew D; Robinson, Bruce; Ryder, Mabel M; Sherman, Eric J; Sadow, Peter M; Shin, Jennifer J; Stack, Brendan C; Tuttle, R Michael; Wirth, Lori J; Zafereo, Mark E; Randolph, Gregory W; |2022 03 11|The development of systemic treatment options leveraging the molecular landscape of advanced thyroid cancer is a burgeoning field. This is a multidisciplinary evidence-based statement on the definition of advanced thyroid cancer and its targeted systemic treatment.|advanced thyroid cancer; consensus statement; molecular testing; systemic therapy; targeted treatment; 
35248000|A qualitative descriptive study of providers' perspectives on human papillomavirus vaccine administration among Latino/a adolescents in South Texas clinics: barriers and facilitators.|Morales-Campos, Daisy Y; Flores, Bertha E; Donovan, Erin; Burdick, Suzanne; Parra-Medina, Deborah; Kahn, Jessica A; |2022 03 05|South Texas Latinas experience higher cervical cancer incidence and mortality compared to Latinas nationwide. Despite the availability of effective human papillomavirus vaccines, South Texas Latino/a adolescents sub-optimally complete the series. Research shows provider recommendation strongly predicts vaccine uptake, but minority adolescents are less likely to report that their provider recommended the vaccine and series completion. There is also scant information on the HPV vaccine administration process in clinic practices providing vaccination services to Latino adolescents with limited access to healthcare resources. The purpose of the study was to describe providers' experience with administering the HPV vaccine to Latino/a patients in their practices.|Cancer prevention; HPV vaccination; Healthcare providers; Latino adolescents; Qualitative description; 
35168931|Serious Illness Care Programme-contextual factors and implementation strategies: a qualitative study.|Paladino, Joanna; Sanders, Justin; Kilpatrick, Laurel B; Prabhakar, Ramya; Kumar, Pallavi; O'Connor, Nina; Durieux, Brigitte; Fromme, Erik K; Benjamin, Evan; Mitchell, Suzanne; |2022 02 15|The Serious Illness Care Programme (SICP) is a multicomponent evidence-based intervention that improves communication about patients' values and goals in serious illness. We aim to characterise implementation strategies for programme delivery and the contextual factors that influence implementation in three 'real-world' health system SICP initiatives.|Communication; End of life care; Service evaluation; 
35155713|Contemporary Clinical and Molecular Epidemiology of Vancomycin-Resistant Enterococcal Bacteremia: A Prospective Multicenter Cohort Study (VENOUS I).|Contreras, German A; Munita, Jose M; Simar, Shelby; Luterbach, Courtney; Dinh, An Q; Rydell, Kirsten; Sahasrabhojane, Pranoti V; Rios, Rafael; Diaz, Lorena; Reyes, Katherine; Zervos, Marcus; Misikir, Helina M; Sanchez-Petitto, Gabriela; Liu, Catherine; Doi, Yohei; Abbo, Lilian M; Shimose, Luis; Seifert, Harald; Gudiol, Carlota; Barberis, Fernanda; Pedroza, Claudia; Aitken, Samuel L; Shelburne, Samuel A; van Duin, David; Tran, Truc T; Hanson, Blake M; Arias, Cesar A; |2021 12 23|Vancomycin-resistant enterococci (VRE) are major therapeutic challenges. Prospective contemporary data characterizing the clinical and molecular epidemiology of VRE bloodstream infections (BSIs) are lacking.|Enterococcus; VRE; bacteremia; 
35060770|En Bloc Resection for Bladder Tumors: An Updated Systematic Review and Meta-Analysis of Its Differential Effect on Safety, Recurrence and Histopathology.|Yanagisawa, Takafumi; Mori, Keiichiro; Motlagh, Reza Sari; Kawada, Tatsushi; Mostafaei, Hadi; Quhal, Fahad; Laukhtina, Ekaterina; Rajwa, Pawel; Aydh, Abdulmajeed; König, Frederik; Pallauf, Maximilian; Pradere, Benjamin; D'Andrea, David; Compérat, Eva; Miki, Jun; Kimura, Takahiro; Egawa, Shin; Shariat, Shahrokh F; |2022 01 21|En bloc resection for bladder tumors has been developed to overcome shortcomings of conventional transurethral resection of bladder tumors with regard to safety, pathological evaluation and oncologic outcomes. However, the potential benefits and utility compared to conventional transurethral resection of bladder tumors have not been conclusively demonstrated. We aimed to update the current evidence with focus on the pathological benefits of en bloc resection for nonmuscle-invasive bladder cancer.|pathology; recurrence; urinary bladder neoplasms; 
35040143|Review of needle electromyography complications in thrombocytopenic cancer patients.|Zein, Mazen; Tummala, Sudhakar; Prince, Laura; Fu, Jack B; |2022 02 01|Needle electromyography (EMG) is understood to be a relatively safe procedure based on clinical experience. There are no evidence-based guidelines for EMG procedures in thrombocytopenic patients. The purpose of this study was to determine whether there is an increased risk of bleeding complications associated with needle EMG in patients with thrombocytopenia.|bleeding; complications; electromyography; oncology; thrombocytopenia; 
34997350|Prognostic value of hepatocyte growth factor for muscle-invasive bladder cancer.|Katayama, Satoshi; Schuettfort, Victor M; Pradere, Benjamin; Mori, Keiichiro; Mostafaei, Hadi; Quhal, Fahad; Sari Motlagh, Reza; Laukhtina, Ekaterina; Grossmann, Nico C; Aydh, Abdulmajeed; Rajwa, Pawel; König, Frederik; Karakiewicz, Pierre I; Haydter, Martin; Moschini, Marco; Abufaraj, Mohammad; Lotan, Yair; Lee, Richard K; Trinh, Quoc-Dien; Compérat, Eva; Teoh, Jeremy; Nasu, Yasutomo; Shariat, Shahrokh F; |2022 01 08|The HGF/MET pathway is involved in cell motility, angiogenesis, proliferation, and cancer invasion. We assessed the clinical utility of plasma HGF level as a prognostic biomarker in patients with MIBC.|Biomarker; HGF; MIBC; Non-organ confined; Preoperative; Survival; 
