Paper Title,Authors,Publication Date,Abstract,PubMed ID,DOI,Source,Publication Types,Keywords,MeSH Terms,Related Articles
The acute effect of cigarette smoking on the concentrations of blood leukocyte types in healthy young women.,"Winkel, P; Statland, B E",No date,"The acute effect of cigarette smoking on blood leukocyte values in four healthy young women is reported. In a cross-over experiment using the Hemalog-D automated differential system, the effect of smoking four to 12 cigarettes on the time course of the concentration of leukocyte types was studied. During each of two experiments lasting from 800 h to 1400 h, the subjects were in the supine position. Each subject abstained from smoking during one experimental day and started smoking at 930 h on the other experimental day. The values obtained during each experimental day were expressed for each subject as change from the baseline values measured before 930 h. The time course for the lymphocyte concentration changed significantly (P less than 0.05) on the day of smoking as compared with the day of not smoking, showing an initial elevation followed by a more prolonged depression. The eosinophil concentration was uniformly and significantly (P less than 0.05) depressed. The neutrophil concentration showed a delayed response, with an elevation starting at 1200 h. The latter effect, however, was of borderline significance (P = 0.07).",7258139,No DOI,pmc,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",No keywords,Adult; Carboxyhemoglobin; Circadian Rhythm; Eosinophils; Female; Hemoglobins; Humans; Leukocyte Count; Lymphocytes; Neutrophils; Rest; Smoking,"['7258139', '7234755', '8055125', '6494620', '563672', '1247221', '616214', '6734053', '7895898', '9103851', '501868', '4017419', '2395196', '2930976', '6270341', '3639117', '6891869', '10865416', '497340', '8915545', '7200119', '8536415', '1421236', '3704963', '3601965', '3195809', '23295621', '9054698', '2536526', '1985807', '16677286', '6778547', '17764477', '19041105', '589225', '6670262', '1892296', '8239165', '1179308', '7135293', '4087316', '9146893', '3907732', '7371362', '6857002', '4008417', '17565017', '3975488', '6770256', '1124881', '3969542', '22706360', '3021866', '4425009', '591649', '16311912', '3767017', '3936581', '27460742', '8630596', '7308335', '1115940', '11723675', '7314006', '3688643', '48024', '4709115', '29932825', '26885085', '25301367', '15740629', '15282395', '7157215', '3969651', '1415858', '7258139', '7234755', '8055125', '6494620', '563672', '1247221', '7258139', '7234755', '8055125', '6494620', '563672', '1247221', '7258139', '7258139']"
Measles- or mumps virus-infected cells forming rosettes with lymphocytes from patients with multiple sclerosis.,"Tobler, L H; Johnson, K P; Case Buehring, G",No date,"Peripheral blood lymphocytes (PBLs) from patients with multiple sclerosis (MS) were studied to determine the frequency at which they formed rosettes with target cells persistently infected with measles or mumps virus. Results were compared with (1) the rosette-forming capability of lymphocytes from age- and sex-matched normal control subjects and (2) the rosette-forming capability of lymphocytes with uninfected target cells from patients with MS. Comparison of mean measles antibody titers in patients with MS was significantly higher than in control subjects. A similar comparison for mumps antibodies showed a significant differences. There was no significant difference between patients and control subjects in the frequency of lymphocytes that formed rosettes, no matter which target cell was used. When data obtained using target cells infected with measles were analyzed according to sex or clinical classification, no significant difference was observed. Lymphocytes from patients or control subjects formed significantly more rosettes when reacted with virus-infected rather than uninfected target cells. These data suggest that PBL rosette formation with measles- or mumps-infected cells may represent nonspecific adherence rather than specific adherence.",7115145,No DOI,pmc,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",No keywords,Adult; Aged; Cell Line; Female; Hemagglutination Inhibition Tests; Humans; Lymphocytes; Male; Measles; Middle Aged; Multiple Sclerosis; Mumps; Rosette Formation,"['7115145', '1272275', '6260013', '314219', '6303601', '87503', '762244', '7220657', '830751', '571067', '315204', '6608918', '6252874', '452840', '3176433', '991460', '27138005', '1168673', '206860', '4325075', '2344175', '314064', '618411', '14113464', '3954230', '944900', '2445513', '6713743', '803527', '4691691', '6970726', '455803', '81273', '6246211', '2578511', '6252875', '3449098', '6213551', '4040615', '25022622', '8231982', '106611', '4121615', '52801', '23523405', '6972111', '931162', '6975110', '2411841', '7239172', '16453260', '6968043', '7425885', '4275640', '324044', '7458716', '616262', '4325395', '6177787', '991877', '6789510', '305707', '321167', '908172', '3315784', '2464533', '7439976', '2782041', '5019832', '3046535', '7141720', '7249416', '23201558', '7115145', '1272275', '6260013', '314219', '6303601', '3046535', '7115145', '1272275', '6260013', '314219', '6303601', '87503', '7115145', '3046535', '7115145', '3046535']"
Toxic shock syndrome in a patient with systemic lupus erythematosus.,"Findlay, R F; Odom, R B",No date,No Abstract,7085168,No DOI,pmc,Case Reports; Journal Article,No keywords,"Adult; Diagnosis, Differential; Female; Humans; Lupus Erythematosus, Systemic; Menstruation; Shock, Septic; Staphylococcal Infections; Tampons, Surgical","['7085168', '6972510', '7005508', '7279328', '6476495', '7432391', '7029058', '6951568', '4047437', '11373115', '7044996', '6763985', '6449668', '8399891', '28231985', '7226948', '6374635', '3547379', '7432406', '6952124', '8806205', '7466481', '6640456', '8823867', '9011122', '7232057', '7074465', '7042487', '11675982', '8970231', '6666429', '6914254', '6809579', '15247859', '7202778', '3959653', '6785629', '7137693', '9255127', '6348686', '7321982', '7053591', '22206235', '6361925', '7099796', '26378092', '7449372', '7211780', '7276702', '7316140', '9648322', '6706268', '8722964', '7427618', '7207661', '7229151', '6906125', '7210238', '3744828', '6727895', '1929968', '15524412', '4809320', '8234093', '6909066', '1662639', '8260345', '6555677', '8721824', '9987537', '14504808', '7207086', '19276310', '6938784', '3889595', '7265188', '7089704', '6555765', '6289716', '6476503', '8357373', '7200110', '16506081', '8225632', '7452178', '7126986', '20196940', '2945069', '3890672', '6628781', '16219642', '28148708', '7440987', '2024587', '7140558', '6952842', '7591473', '7113570', '4002993', '3512215', '1994017', '7254073', '35440505', '3225432', '8495270', '6889153', '12724806', '3848384', '9718162', '7185971', '9790151', '33373942', '32600577', '7085168', '6972510', '7005508', '7279328', '7044996', '6763985', '7085168', '6972510', '7005508', '7279328', '6476495', '7432391', '7085168', '7044996', '6763985', '6374635', '3547379', '8823867', '7042487', '11675982', '8970231', '6348686', '6361925', '8234093', '1662639', '8721824', '9987537', '3890672', '2024587', '3512215', '7085168', '7044996', '6763985', '6374635', '3547379', '8823867']"
Regulation of RAG-2 protein expression in avian thymocytes.,"Ferguson, S E; Accavitti, M A; Wang, D D; Chen, C L; Thompson, C B",No date,"The recombinase-activating genes, RAG-1 and RAG-2, have been shown to be necessary to initiate the process of V(D)J recombination during the ontogeny of lymphocytes. While much is known about the end products of this rearrangement process, little is known about the function or regulation of the components of the recombinase system. To this end, we have generated a monoclonal antibody to the chicken RAG-2 protein. Chicken thymocytes were found to express high levels of RAG-2, part of which is phosphorylated. Within thymocytes, RAG-2 is expressed primarily within the nucleus. RAG-2 protein levels are high in the CD4- CD8- and CD4+ CD8+ immature thymocytes but absent at the single-positive CD4+ CD8- or CD4- CD8+ stage of thymocyte development. Mitogenic stimulation of thymocytes with phorbol myristate acetate and ionomycin results in down-regulation of RAG-2 expression. Consistent with these data, in vivo levels of RAG-2 are markedly lower in proliferating thymocytes than in smaller, G0/G1 cells. Down-regulation of RAG-2 expression appears to occur before cells enter S phase, suggesting that RAG-2 function may be limited to noncycling cells.",7935443,No DOI,pmc,"Journal Article; Research Support, U.S. Gov't, P.H.S.",No keywords,"Animals; Antibodies, Monoclonal; Antibody Specificity; Base Sequence; Cell Differentiation; Cell Separation; Cell Size; Chickens; DNA; DNA-Binding Proteins; Gene Expression Regulation; Gene Rearrangement, B-Lymphocyte; Ionomycin; Molecular Sequence Data; Phosphorylation; Proteins; Recombinant Fusion Proteins; Subcellular Fractions; T-Lymphocytes; Tetradecanoylphorbol Acetate","['7935443', '7869035', '7931082', '8326141', '8096236', '8658050', '7898493', '7686307', '11514603', '1401087', '1454064', '2360047', '8146183', '1831564', '8432979', '8671594', '8020549', '8671615', '10933595', '1970353', '8568235', '8666950', '8391873', '9126963', '9701033', '2783435', '7513723', '9551905', '11859122', '11246072', '8757961', '1396960', '1537384', '8145048', '1547487', '8396416', '8814250', '8095955', '12031417', '10233677', '10323202', '2973844', '14500656', '1985890', '8430336', '1827815', '12097391', '1450411', '1599127', '9211847', '8493533', '1329099', '8359866', '10458749', '1968394', '8622652', '7774628', '12045240', '9720655', '8413222', '8376767', '9545284', '17981791', '7505122', '7528767', '8398986', '8671666', '2505789', '2523931', '7989751', '11238119', '3121729', '7534201', '8228214', '1439838', '10684966', '8376769', '7889413', '2966738', '7515811', '30545902', '8944785', '8769647', '7545113', '7903158', '8100778', '2961801', '2598259', '8097430', '16426893', '7947468', '8986717', '8276236', '7751632', '12566420', '2536061', '7565717', '21349423', '20741910', '36491716', '9235545', '7565717', '7935443', '7869035', '7931082', '8326141', '10933595', '1599127', '7935443', '7869035', '7931082', '8326141', '8096236', '8658050', '8506294', '8493533', '8469973', '8276236', '8146183', '6823332', '6300689', '3511387', '3258329', '3135938', '3093081', '2598259', '2360047', '2215662', '1996340', '1986866', '1986864', '1835268', '1831564', '1752360', '1701258', '1590991', '1552940', '1547488', '1510813', '1423616', '1151286', '7935443', '10933595', '1599127', '7935443', '10933595', '1599127']"
"The relationship of prolactin in cord blood, gestational age and respiratory compliance after birth in newborn infants.","Schober, E; Simbruner, G; Salzer, H; Husslein, P; Spona, J",No date,"In 29 healthy newborns (gestational age 30-41 weeks) and 7 newborns with respiratory distress syndrome (gestational age 28-31 weeks) the prolactin levels in the cord blood and respiratory compliance was measured. Prolactin was determined by radioimmunoassay, the respiratory compliance was measured with the airway occlusion technique in spontaneously breathing newborns and with injection of known volumes and measuring the airway pressure in newborns with ventilatory support. In healthy newborns prolactin and gestational age were significantly correlated (r = 0.62, p less than 0.001), while prolactin did not correlate with respiratory compliance (r = 0.22, n. s.). Comparing 5 healthy newborns and the 7 RDS infants with prolactin values below 170 ng/ml, there was no significant difference in the prolactin levels, but in the compliance values. We conclude that prolactin does not directly influence lung maturation, but is associated with gestational age.",7062229,No DOI,pmc,Journal Article,No keywords,"Fetal Blood; Gestational Age; Humans; Infant, Newborn; Lung; Lung Compliance; Prolactin; Respiratory Distress Syndrome, Newborn","['7062229', '7360531', '6850018', '6671322', '6808440', '7386551', '7178669', '152807', '2782363', '157449', '6548163', '3982908', '934210', '3574991', '10642959', '3694350', '6504598', '1266904', '8597004', '3706428', '10582068', '15324648', '3511208', '7243091', '2030698', '7557532', '2623879', '876699', '15786439', '14631164', '25217734', '1159067', '16138226', '6493849', '6431636', '12545418', '20306656', '6838250', '10657683', '3369171', '8847264', '2259557', '22099523', '2929688', '3640336', '3748660', '30658676', '6651326', '7838624', '3361391', '6444710', '7390210', '949200', '12375541', '9447532', '8469575', '12660915', '3640335', '20180321', '3420305', '23339636', '17554390', '201892', '12521228', '1432553', '16053172', '23401477', '9410282', '8337015', '8033790', '107304', '8606856', '15174790', '25144999', '26371513', '18450845', '8545166', '6798539', '720268', '11245991', '229818', '1396917', '3754892', '9673533', '29282094', '17094045', '1185413', '2388775', '7379317', '9808071', '11389574', '24749311', '54414', '4063541', '4041659', '22005824', '1490571', '37031034', '34365874', '18103616', '2221971', '7062229', '7360531', '6850018', '6671322', '6808440', '7386551', '7062229', '7360531', '6850018', '6671322', '6808440', '7386551', '7062229', '7062229']"
Effects of the discrete pattern of electrical coupling on propagation through an electrical syncytium.,"Joyner, R W",No date,"We used numerical integration techniques to simulate action potential propagation along one-dimensional strands of cells coupled with electrical junctions. We considered the standard case to be a series of cardiac cells (20 micrometer in diameter, 50 micrometers long) with intercellular coupling such that the effective longitudinal resistance was 200 omega cm. The membrane properties were represented by the model of Beeler and Reuter (1977) (Sharp and Joyner, 1980). By increasing Ri (and thus decreasing the space constant, L), we showed that effects due to the discrete cell length, delta X, became apparent when delta X/L was greater than about 0.2, producing an increased maximal dV/dt but a decrease in peak inward current. We also simulated the effects of a periodic spatial variation in Ri, representing a structure with groups of well-coupled cells but with minimal coupling between the groups. Even with a constant membrane model and cell size, variations in the spatial pattern of interconnection produced significant changes in action potential shape and velocity, with some patterns producing decremental conduction or propagation failure.",7055854,No DOI,pmc,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",No keywords,"Action Potentials; Axons; Electric Stimulation; Heart Conduction System; Heart Ventricles; Membrane Potentials; Models, Biological; Muscles","['7055854', '3698214', '7116583', '3677338', '6733238', '839458', '7225512', '12665257', '1526641', '1721160', '3390522', '2805251', '6627611', '17411261', '1802176', '2295134', '7872569', '10413376', '17930086', '8913583', '1123091', '2750935', '1761300', '4050489', '4113958', '25954930', '1122575', '6336913', '4017197', '7260295', '14998434', '4415790', '8747202', '15094351', '7142952', '16686687', '7585837', '1097581', '428073', '12233270', '4702043', '14673655', '3656162', '1227694', '2197933', '5575345', '16875501', '2344662', '39970', '3995697', '6713068', '16686688', '2436826', '7055853', '1279992', '7260286', '15192022', '8770204', '12480825', '1487286', '1860179', '8831491', '16144554', '9776725', '1984858', '1600077', '521937', '4110376', '15142755', '6360228', '8070804', '16916084', '445703', '9176640', '4649988', '17999190', '2736741', '26292333', '10988238', '1721501', '7088684', '8923985', '18641070', '1453801', '36840856', '20441739', '24177501', '36589707', '35600295', '34777021', '34141022', '33917972', '32422981', '31861705', '31150383', '27895596', '27833567', '25367364', '25267872', '23516623', '21692984', '21281569', '21044579', '19186188', '18401721', '17617072', '17482242', '12480819', '11566782', '10602315', '8913583', '8071984', '6733238', '6670785', '3450994', '3390522', '3351394', '2472402', '2306028', '1940663', '7055854', '3698214', '7116583', '3677338', '6336913', '15094351', '7055854', '3698214', '7116583', '3677338', '6733238', '839458', '7055854', '6336913', '15094351', '16686687', '1097581', '2197933', '6360228', '7055854', '6336913', '15094351', '16686687', '1097581', '2197933']"
[Inhibition of the transplacental blastomogenic effect of N-nitrosomethylurea in rats by buformin].,"Anisimov, V N; Aleksandrov, V A; Belous, N M; Vasil'eva, I A; Matson, V B",No date,"N-nitrosomethylurea (NMU, 20 mg/kg) was administered to rats intraperitoneally on the 21st day of pregnancy. F1 progeny aged 3 months showed a decrease in glucose utilization and in somatomerin content as measured by the glucose tolerance test. The insulin serum level did not differ from control. The cholesterol blood level was higher in the offspring of NMU-treated rats. The ability of diethylstilbestrol to inhibit the compensatory ovarian hypertrophy was decreased in 3-month-old female hemicastrated rats whose mothers had been exposed to NMU. Administration of the antidiabetic drug buformin decreased 3.5-fold the malignant neurogenic tumor incidence in rats transplacentally treated with NMU.",6996759,No DOI,pmc,English Abstract; Journal Article,No keywords,"Animals; Antineoplastic Agents; Biguanides; Blood Glucose; Buformin; Castration; Cholesterol; Female; Insulin; Maternal-Fetal Exchange; Methylnitrosourea; Neoplasms, Experimental; Nitrosourea Compounds; Pregnancy; Rats; Somatomedins; Triglycerides","['6996759', '29400636', '25333035', '6996759', '11272113', '1035003', '4042957', '678655', '4943963', '6996759', '11272113', '1035003', '4042957', '678655', '6509436', '6996759', '4943963', '6996759', '4943963']"
Rostral mesencephalic reticulotomy for pain relief. Report of 15 cases.,"Amano, K; Iseki, H; Notani, M; Kawabatake, H; Tanikawa, T; Kawamura, H; Kitamura, K",No date,No Abstract,6937114,No DOI,pmc,Journal Article,No keywords,"Aged; Brain Diseases; Female; Humans; Male; Mesencephalon; Middle Aged; Neoplasms; Ophthalmoplegia; Pain, Intractable; Postoperative Complications; Reticular Formation; Syndrome; Tabes Dorsalis; Thalamus","['6937114', '518067', '3827237', '727773', '6752741', '1295043', '6934037', '66634', '6977314', '1093800', '4339072', '1105144', '7042931', '14447198', '6369589', '2457331', '83121', '4168149', '1102070', '25240655', '6351226', '7373327', '4113363', '3077269', '13838972', '4518117', '8776556', '4607161', '4370936', '6188981', '15637444', '1028025', '7330647', '1919697', '20948242', '4182600', '5429005', '1141918', '110174', '5917286', '1201461', '6572489', '13279240', '297141', '16326270', '4623627', '23692153', '593512', '13040642', '554526', '2764305', '13723256', '2886937', '1780660', '16215612', '18857026', '1127146', '4559704', '12981958', '20690809', '12978860', '11565157', '6242620', '18890243', '5334024', '5749675', '28574334', '1011037', '12688146', '7263959', '14936386', '2718694', '27537848', '431882', '14008603', '4182601', '6205350', '1792981', '3877248', '3487065', '2354317', '21000558', '18476522', '12997747', '13596464', '9248347', '13356928', '2384958', '4606385', '6188982', '6535528', '13759721', '13094011', '4338503', '9178401', '1482452', '25289131', '6360635', '2667283', '1799159', '6937114', '518067', '3827237', '727773', '6752741', '1105144', '6937114', '518067', '3827237', '727773', '6752741', '1295043', '6937114', '6752741', '1105144', '25240655', '11565157', '6937114', '6752741', '1105144', '25240655', '11565157']"
Simplified surgery for varicose veins.,"Hinnant, J R; Stallworth, J M",No date,No Abstract,6911020,No DOI,pmc,Journal Article,No keywords,Adult; Auscultation; Electrocoagulation; Female; Humans; Male; Middle Aged; Ultrasonography; Varicose Veins,"['6911020', '6944063', '10533229', '3615618', '1946647', '7226307', '494067', '5190556', '1862374', '5656794', '3407091', '3626354', '10091298', '14474232', '30272909', '5639664', '6579947', '2626485', '29229466', '4704843', '17385181', '7111418', '5344803', '1635517', '3897141', '4777458', '6398773', '21780053', '5124905', '5678397', '5163326', '3070210', '189516', '2593099', '25291408', '23790768', '5879064', '2688348', '3448374', '18535645', '135871', '6819924', '4436373', '7111419', '25791489', '17870617', '19674039', '7111485', '16508360', '4855133', '8059216', '7114583', '2530682', '4411478', '1669616', '5730141', '1644596', '269713', '17966768', '19818193', '9638997', '20713489', '7111420', '10916239', '20227536', '1154229', '1012374', '25842677', '17903148', '7351201', '10818035', '7206926', '3201332', '9501548', '6222361', '15094888', '3976278', '1133944', '22323510', '2677225', '4445248', '23610938', '3807289', '24183454', '3328864', '5963362', '23929418', '18841584', '26742879', '23321173', '6837126', '9835733', '11302778', '14125540', '3814371', '20552744', '6911020', '6944063', '10533229', '3615618', '3070210', '17903148', '6911020', '6944063', '10533229', '3615618', '1946647', '7226307', '6911020', '3070210', '17903148', '10818035', '18841584', '11302778', '6911020', '3070210', '17903148', '10818035', '18841584', '11302778']"
The posterior calf fasciocutaneous free flap.,"Walton, R L; Bunkis, J",No date,"Four clinical cases are presented that represent our initial experience with a new fasciocutaneous free-flap unit. The territory of this flap incorporates the skin, fat, and fascia of the posterior calf region. Its design is based on the principle of the fasciocutaneous flap. Anatomic studies confirm that the blood supply to this flap is derived from a descending subfascial branch of the popliteal artery. The flap is well endowed with cutaneous sensory nerves, making it a potential neurosensory free flap. Our technique of flap design and elevation is presented, and potential advantages and disadvantages of this flap are discussed.",6377344,No DOI,pmc,Case Reports; Journal Article,No keywords,Adult; Amputation Stumps; Elbow; Fascia; Female; Foot Diseases; Forearm; Hand; Humans; Leg; Male; Middle Aged; Skin; Skin Transplantation; Skin Ulcer; Surgical Flaps,"['6377344', '2244742', '8077816', '2326359', '10343592', '6996010', '2232546', '3535060', '6395781', '6388596', '9894309', '9336638', '7938291', '2804513', '2796710', '7683899', '18332823', '3902136', '3902137', '7857049', '6354057', '1872548', '9016457', '3382848', '8298774', '2176414', '6378037', '3730678', '19546680', '18717353', '2810430', '3966107', '3307596', '11263310', '19446514', '8234511', '3823214', '19944567', '2874575', '6127049', '6870119', '3147532', '9326779', '3893848', '3322216', '11501086', '9180717', '3545341', '24693787', '6463149', '8220853', '10617882', '12806575', '9445096', '20367063', '7482148', '19803198', '8646898', '9385953', '3906718', '9600430', '3207963', '6836058', '3048182', '9105365', '3712325', '9018863', '6709324', '6395782', '9180325', '3994280', '3902138', '9727444', '3289664', '9500435', '3779192', '2735707', '7006490', '3779196', '2593802', '7892305', '3676585', '2301877', '1803548', '1993230', '9746080', '3157415', '2328372', '3898166', '6831096', '7044458', '3975284', '2383735', '9105389', '25357032', '3886059', '3273007', '6728956', '6626820', '11396583', '13844412', '3535059', '15509946', '1937738', '1092388', '15692350', '8149060', '7296154', '2665615', '28293515', '3310810', '362437', '3880198', '7032405', '344166', '4576712', '7139170', '27917236', '3975301', '4550070', '2256349', '6886348', '7296153', '6709752', '2804537', '4868062', '14371007', '20896256', '20264349', '35832674', '31070789', '28936687', '23412258', '23099184', '12879285', '6377344', '2244742', '8077816', '2326359', '6388596', '9180325', '6377344', '2244742', '8077816', '2326359', '10343592', '6996010', '6377344', '6388596', '9180325', '15509946', '2256349', '6377344', '6388596', '9180325', '15509946', '2256349']"
Growth hormone suppression of pancreatic polypeptide secretion.,"Zipf, W B; Kelch, R P; Floyd, J C; Hopwood, N J",No date,No Abstract,7021581,No DOI,pmc,"Journal Article; Research Support, U.S. Gov't, P.H.S.",No keywords,Adolescent; Adult; Blood Glucose; Child; Growth Hormone; Humans; Hypopituitarism; Insulin; Pancreatic Polypeptide,"['7021581', '7010898', '6986394', '7019661', '887308', '5026220', '6997163', '6393318', '5053613', '1718681', '5654838', '7543114', '6988454', '7017221', '2816359', '6638798', '220275', '3899891', '3902870', '1105371', '1073166', '447818', '8626816', '1186647', '4365687', '7704728', '3890217', '8774381', '5173751', '973430', '4370413', '3014338', '199863', '6021600', '11701703', '186473', '4311615', '3254031', '6789281', '933468', '6806140', '7024080', '10868497', '1553183', '11963397', '498563', '7350185', '2809096', '2185054', '8374691', '3983451', '10341850', '4162038', '9196601', '3808780', '16794360', '5892133', '5907481', '18355427', '7021581', '7010898', '6986394', '7019661', '1718681', '7017221', '7021581', '7010898', '6986394', '7019661', '887308', '5026220', '7021581', '1718681', '7017221', '8774381', '199863', '10868497', '10341850', '7021581', '1718681', '7017221', '8774381', '199863', '10868497']"
"Recovery of ribophorins and ribosomes in ""inverted rough"" vesicles derived from rat liver rough microsomes.","Kreibich, G; Ojakian, G; Rodriguez-Boulan, E; Sabatini, D D",No date,"Treatment of rat liver rough microsomes (3.5 mg of protein/ml) with sublytical concentrations (0.08%) of the neutral detergent Triton X-100 caused a lateral displacement of bound ribosomes and the formation of ribosomal aggregates on the microsomal surface. At slightly higher detergent concentrations (0.12-0.16%) membrane areas bearing ribosomal aggregates invaginated into the microsomal lumen and separated from the rest of the membrane. Two distinct classes of vesicles could be isolated by density gradient centrifugation from microsomes treated with 0.16% Triton X-100: one with ribosomes bound to the inner membrane surfaces (""inverted rough"" vesicles) and another with no ribosomes attached to the membranes. Analysis of the fractions showed that approximately 30% of the phospholipids and 20-30% of the total membrane protein were released from the membranes by this treatment. Labeling with avidin-ferritin conjugates demonstrated that concanavalin A binding sites, which in native rough microsomes are found in the luminal face of the membranes, were present on the outer surface of the inverted rough vesicles. Freeze-fracture electron microscopy showed that both fracture faces had similar concentrations of intramembrane particles. SDS PAGE analysis of the two vesicle subfractions demonstrated that, of all the integral microsomal membrane proteins, only ribophorins I and II were found exclusively in the inverted rough vesicles bearing ribosomes. These observations are consistent with the proposal that ribophorins are associated with the ribosomal binding sites characteristic of rough microsomal membranes.",7068749,No DOI,pmc,"Journal Article; Research Support, U.S. Gov't, P.H.S.",No keywords,"Animals; Cell Fractionation; Centrifugation, Density Gradient; Liver; Membrane Proteins; Microscopy, Electron; Microsomes, Liver; Molecular Weight; Rats; Ribosomes","['7068749', '723266', '838767', '418074', '649658', '6501424', '6501423', '701364', '701363', '6656642', '4429741', '2602384', '4682341', '5458993', '8062339', '454586', '2456804', '2016278', '7093385', '4209578', '3663192', '4729506', '99444', '4329524', '4449120', '963065', '885910', '192472', '4429540', '4150490', '1214783', '5584018', '5685264', '5009518', '5158923', '497200', '627209', '10585748', '7068762', '4353089', '457773', '4018097', '13878497', '6252212', '7449858', '468113', '1195333', '708731', '7084228', '4824289', '4370995', '13319380', '1160346', '791955', '7864069', '6656633', '6859872', '7085782', '269395', '9637003', '690168', '6798045', '4279923', '2071610', '4345164', '4226411', '4330091', '27730607', '167719', '2297788', '4349119', '6284127', '14424705', '632254', '6712683', '2314238', '1117030', '1730294', '1268205', '5971004', '2433292', '4389025', '7287644', '638154', '880237', '1378445', '6654870', '2736336', '4368410', '440082', '7364870', '911837', '13931790', '465594', '6195068', '6470038', '1276191', '672657', '6185514', '457816', '796456', '629966', '992562', '7408995', '11410334', '6959992', '4419291', '890580', '4215461', '6667511', '6289890', '3118874', '13398437', '446842', '1227953', '805066', '204502', '7287643', '911856', '3034581', '631260', '8325372', '7358049', '6986873', '6696903', '1276222', '4961331', '887088', '5698060', '1182590', '7412767', '6853604', '6833295', '7082663', '7150586', '4972813', '670156', '4043092', '16662414', '4444528', '4964345', '3587087', '7012132', '3667691', '13772607', '5000780', '5497194', '408361', '4687390', '1001660', '5057936', '1021257', '440083', '4880002', '7219411', '638838', '6348046', '108506', '3833186', '5768878', '4684618', '415817', '1227984', '845939', '569597', '5132994', '1261652', '6170766', '560977', '739541', '19866668', '6039369', '672658', '22500222', '727450', '11946318', '16453466', '6990014', '14024754', '11946202', '9984504', '9947743', '18231524', '15335918', '9942171', '23319915', '29831342', '36769142', '8280060', '6309858', '3958046', '3663192', '2211814', '7068749', '723266', '838767', '418074', '6986873', '4880002', '7068749', '723266', '838767', '418074', '649658', '6501424', '14907713', '14304859', '14292249', '14209971', '13893456', '13793161', '13428781', '7035466', '6994552', '6994549', '6245077', '5946614', '4760132', '4729506', '4682341', '4530994', '4419291', '4381697', '4345164', '4209578', '4139715', '1096303', '885910', '838767', '811672', '811671', '723266', '701364', '701363', '649658', '418074', '271987', '7068749', '6986873', '4880002', '7068749', '6986873', '4880002']"
[Antigen and antibody detection in sera of human and experimental candidiasis using immunodiffusion and counterimmunoelectrophoresis].,"Tomsíková, A; Banzetová, H; Novácková, D",No date,No Abstract,6818479,No DOI,pmc,English Abstract; Journal Article,No keywords,"Animals; Antibodies, Fungal; Antigens, Fungal; Candidiasis; Counterimmunoelectrophoresis; Humans; Immunodiffusion; Immunoelectrophoresis; Rabbits","['6818479', '97308', '7854371', '6779441', '814458', '528786', '6388974', '6419354', '7381300', '806643', '6768284', '670385', '3530750', '329128', '117057', '382829', '323286', '4110646', '6872325', '817400', '4959969', '4276215', '6433142', '413445', '6371035', '321971', '6763386', '1861738', '10332630', '6999104', '102183', '3136535', '99838', '412102', '99657', '6432898', '8360813', '349086', '6813980', '6818646', '6776945', '8341817', '96579', '4980417', '6818784', '6821021', '4132286', '806636', '6789214', '7520657', '4986160', '7939341', '7027038', '7854370', '11291579', '99784', '6797938', '689219', '6788558', '120306', '4980585', '17953578', '4448275', '15780582', '6459186', '6994070', '4973174', '3379541', '17472610', '6993369', '4858116', '4216855', '417625', '6437304', '116542', '4197987', '19152036', '10349720', '57923', '7212863', '4219578', '8360814', '3097451', '2121787', '7123115', '7021659', '8752726', '7488832', '9793140', '5702923', '7046073', '6427876', '6221832', '4163433', '6442373', '6494415', '4994709', '6157927', '4726613', '4467220', '517463', '3817954', '6176758', '6181311', '2571801', '804358', '6158656', '5964544', '1718306', '4726614', '206130', '634310', '4987291', '319649', '6530769', '9720952', '6785246', '982085', '662677', '4629066', '6772407', '6796505', '6772482', '4995949', '5003973', '4967492', '31694100', '6071391', '6818479', '97308', '7854371', '6779441', '1861738', '6994070', '6818479', '97308', '7854371', '6779441', '814458', '528786', '6818479', '1861738', '6994070', '8752726', '9720952', '6818479', '1861738', '6994070', '8752726', '9720952']"
